Tax Year,Tax code,Agency,Agency Name,Agency Rate,Tax code Rate
2017,10001,010010000,COUNTY OF COOK,0.496,7.155
2017,10001,010010001,CONSOLIDATED ELECTIONS,0.031,7.155
2017,10001,010020000,FOREST PRESERVE DISTRICT OF COOK COUNTY,0.062,7.155
2017,10001,020010000,TOWN BARRINGTON,0.031,7.155
2017,10001,020010002,GENERAL ASSISTANCE BARRINGTON,0.001,7.155
2017,10001,020010003,ROAD AND BRIDGE BARRINGTON,0.000,7.155
2017,10001,043060000,HARPER COMMUNITY COLLEGE DISTRICT 512,0.425,7.155
2017,10001,044030000,COMMUNITY UNIT SCHOOL DISTRICT 220,4.560,7.155
2017,10001,044030010,LAKE CO TAX OBJ CT ORD-220,0.068,7.155
2017,10001,050040000,BARRINGTON PARK DISTRICT,0.756,7.155
2017,10001,060030000,BARRINGTON PUBLIC LIBRARY DISTRICT,0.230,7.155
2017,10001,070010000,BARRINGTON COUNTRYSIDE FIRE PROT DIST,0.485,7.155
2017,10001,090030000,NORTHWEST MOSQUITO ABATEMENT DISTRICT,0.010,7.155
2017,10002,010010000,COUNTY OF COOK,0.496,8.248
2017,10002,010010001,CONSOLIDATED ELECTIONS,0.031,8.248
2017,10002,010020000,FOREST PRESERVE DISTRICT OF COOK COUNTY,0.062,8.248
2017,10002,020010000,TOWN BARRINGTON,0.031,8.248
2017,10002,020010002,GENERAL ASSISTANCE BARRINGTON,0.001,8.248
2017,10002,020010003,ROAD AND BRIDGE BARRINGTON,0.000,8.248
2017,10002,030040000,VILLAGE OF   BARRINGTON HILLS,1.222,8.248
2017,10002,043060000,HARPER COMMUNITY COLLEGE DISTRICT 512,0.425,8.248
2017,10002,044030000,COMMUNITY UNIT SCHOOL DISTRICT 220,4.560,8.248
2017,10002,044030010,LAKE CO TAX OBJ CT ORD-220,0.068,8.248
2017,10002,050030000,BARRINGTON HILLS PARK DISTRICT,0.048,8.248
2017,10002,060030000,BARRINGTON PUBLIC LIBRARY DISTRICT,0.230,8.248
2017,10002,070090000,EAST DUNDEE & COUNTRYSIDE FIRE PROT DIST,1.064,8.248
2017,10002,090030000,NORTHWEST MOSQUITO ABATEMENT DISTRICT,0.010,8.248
2017,10003,010010000,COUNTY OF COOK,0.496,6.939
2017,10003,010010001,CONSOLIDATED ELECTIONS,0.031,6.939
2017,10003,010020000,FOREST PRESERVE DISTRICT OF COOK COUNTY,0.062,6.939
2017,10003,020010000,TOWN BARRINGTON,0.031,6.939
2017,10003,020010002,GENERAL ASSISTANCE BARRINGTON,0.001,6.939
2017,10003,020010003,ROAD AND BRIDGE BARRINGTON,0.000,6.939
2017,10003,031180000,VILLAGE OF   SOUTH BARRINGTON,0.540,6.939
2017,10003,043060000,HARPER COMMUNITY COLLEGE DISTRICT 512,0.425,6.939
2017,10003,044030000,COMMUNITY UNIT SCHOOL DISTRICT 220,4.560,6.939
2017,10003,044030010,LAKE CO TAX OBJ CT ORD-220,0.068,6.939
2017,10003,060030000,BARRINGTON PUBLIC LIBRARY DISTRICT,0.230,6.939
2017,10003,070010000,BARRINGTON COUNTRYSIDE FIRE PROT DIST,0.485,6.939
2017,10003,090030000,NORTHWEST MOSQUITO ABATEMENT DISTRICT,0.010,6.939
2017,10004,010010000,COUNTY OF COOK,0.496,9.674
2017,10004,010010001,CONSOLIDATED ELECTIONS,0.031,9.674
2017,10004,010020000,FOREST PRESERVE DISTRICT OF COOK COUNTY,0.062,9.674
2017,10004,020010000,TOWN BARRINGTON,0.031,9.674
2017,10004,020010002,GENERAL ASSISTANCE BARRINGTON,0.001,9.674
2017,10004,020010003,ROAD AND BRIDGE BARRINGTON,0.000,9.674
2017,10004,030040000,VILLAGE OF   BARRINGTON HILLS,1.222,9.674
2017,10004,043040000,ELGIN COMMUNITY COLLEGE DISTRICT 509,0.562,9.674
2017,10004,044070000,SCHOOL DISTRICT UNIT  300,5.917,9.674
2017,10004,050030000,BARRINGTON HILLS PARK DISTRICT,0.048,9.674
2017,10004,060030000,BARRINGTON PUBLIC LIBRARY DISTRICT,0.230,9.674
2017,10004,070090000,EAST DUNDEE & COUNTRYSIDE FIRE PROT DIST,1.064,9.674
2017,10004,090030000,NORTHWEST MOSQUITO ABATEMENT DISTRICT,0.010,9.674
2017,10005,010010000,COUNTY OF COOK,0.496,7.892
2017,10005,010010001,CONSOLIDATED ELECTIONS,0.031,7.892
2017,10005,010020000,FOREST PRESERVE DISTRICT OF COOK COUNTY,0.062,7.892
2017,10005,020010000,TOWN BARRINGTON,0.031,7.892
2017,10005,020010002,GENERAL ASSISTANCE BARRINGTON,0.001,7.892
2017,10005,020010003,ROAD AND BRIDGE BARRINGTON,0.000,7.892
2017,10005,030040000,VILLAGE OF   BARRINGTON HILLS,1.222,7.892
2017,10005,043060000,HARPER COMMUNITY COLLEGE DISTRICT 512,0.425,7.892
2017,10005,044030000,COMMUNITY UNIT SCHOOL DISTRICT 220,4.560,7.892
2017,10005,044030010,LAKE CO TAX OBJ CT ORD-220,0.068,7.892
2017,10005,050040000,BARRINGTON PARK DISTRICT,0.756,7.892
2017,10005,060030000,BARRINGTON PUBLIC LIBRARY DISTRICT,0.230,7.892
2017,10005,090030000,NORTHWEST MOSQUITO ABATEMENT DISTRICT,0.010,7.892
2017,10009,010010000,COUNTY OF COOK,0.496,6.399
2017,10009,010010001,CONSOLIDATED ELECTIONS,0.031,6.399
2017,10009,010020000,FOREST PRESERVE DISTRICT OF COOK COUNTY,0.062,6.399
2017,10009,020010000,TOWN BARRINGTON,0.031,6.399
2017,10009,020010002,GENERAL ASSISTANCE BARRINGTON,0.001,6.399
2017,10009,020010003,ROAD AND BRIDGE BARRINGTON,0.000,6.399
2017,10009,043060000,HARPER COMMUNITY COLLEGE DISTRICT 512,0.425,6.399
2017,10009,044030000,COMMUNITY UNIT SCHOOL DISTRICT 220,4.560,6.399
2017,10009,044030010,LAKE CO TAX OBJ CT ORD-220,0.068,6.399
2017,10009,060030000,BARRINGTON PUBLIC LIBRARY DISTRICT,0.230,6.399
2017,10009,070010000,BARRINGTON COUNTRYSIDE FIRE PROT DIST,0.485,6.399
2017,10009,090030000,NORTHWEST MOSQUITO ABATEMENT DISTRICT,0.010,6.399
2017,10012,010010000,COUNTY OF COOK,0.496,6.933
2017,10012,010010001,CONSOLIDATED ELECTIONS,0.031,6.933
2017,10012,010020000,FOREST PRESERVE DISTRICT OF COOK COUNTY,0.062,6.933
2017,10012,020010000,TOWN BARRINGTON,0.031,6.933
2017,10012,020010002,GENERAL ASSISTANCE BARRINGTON,0.001,6.933
2017,10012,020010003,ROAD AND BRIDGE BARRINGTON,0.000,6.933
2017,10012,030630000,VILLAGE OF INVERNESS,0.534,6.933
2017,10012,043060000,HARPER COMMUNITY COLLEGE DISTRICT 512,0.425,6.933
2017,10012,044030000,COMMUNITY UNIT SCHOOL DISTRICT 220,4.560,6.933
2017,10012,044030010,LAKE CO TAX OBJ CT ORD-220,0.068,6.933
2017,10012,060030000,BARRINGTON PUBLIC LIBRARY DISTRICT,0.230,6.933
2017,10012,070010000,BARRINGTON COUNTRYSIDE FIRE PROT DIST,0.485,6.933
2017,10012,090030000,NORTHWEST MOSQUITO ABATEMENT DISTRICT,0.010,6.933
2017,10013,010010000,COUNTY OF COOK,0.496,7.825
2017,10013,010010001,CONSOLIDATED ELECTIONS,0.031,7.825
2017,10013,010020000,FOREST PRESERVE DISTRICT OF COOK COUNTY,0.062,7.825
2017,10013,020010000,TOWN BARRINGTON,0.031,7.825
2017,10013,020010002,GENERAL ASSISTANCE BARRINGTON,0.001,7.825
2017,10013,020010003,ROAD AND BRIDGE BARRINGTON,0.000,7.825
2017,10013,043040000,ELGIN COMMUNITY COLLEGE DISTRICT 509,0.562,7.825
2017,10013,044070000,SCHOOL DISTRICT UNIT  300,5.917,7.825
2017,10013,060030000,BARRINGTON PUBLIC LIBRARY DISTRICT,0.230,7.825
2017,10013,070010000,BARRINGTON COUNTRYSIDE FIRE PROT DIST,0.485,7.825
2017,10013,090030000,NORTHWEST MOSQUITO ABATEMENT DISTRICT,0.010,7.825
2017,10015,010010000,COUNTY OF COOK,0.496,6.978
2017,10015,010010001,CONSOLIDATED ELECTIONS,0.031,6.978
2017,10015,010020000,FOREST PRESERVE DISTRICT OF COOK COUNTY,0.062,6.978
2017,10015,020010000,TOWN BARRINGTON,0.031,6.978
2017,10015,020010002,GENERAL ASSISTANCE BARRINGTON,0.001,6.978
2017,10015,020010003,ROAD AND BRIDGE BARRINGTON,0.000,6.978
2017,10015,043060000,HARPER COMMUNITY COLLEGE DISTRICT 512,0.425,6.978
2017,10015,044030000,COMMUNITY UNIT SCHOOL DISTRICT 220,4.560,6.978
2017,10015,044030010,LAKE CO TAX OBJ CT ORD-220,0.068,6.978
2017,10015,060030000,BARRINGTON PUBLIC LIBRARY DISTRICT,0.230,6.978
2017,10015,070090000,EAST DUNDEE & COUNTRYSIDE FIRE PROT DIST,1.064,6.978
2017,10015,090030000,NORTHWEST MOSQUITO ABATEMENT DISTRICT,0.010,6.978
2017,10018,010010000,COUNTY OF COOK,0.496,5.914
2017,10018,010010001,CONSOLIDATED ELECTIONS,0.031,5.914
2017,10018,010020000,FOREST PRESERVE DISTRICT OF COOK COUNTY,0.062,5.914
2017,10018,020010000,TOWN BARRINGTON,0.031,5.914
2017,10018,020010002,GENERAL ASSISTANCE BARRINGTON,0.001,5.914
2017,10018,020010003,ROAD AND BRIDGE BARRINGTON,0.000,5.914
2017,10018,043060000,HARPER COMMUNITY COLLEGE DISTRICT 512,0.425,5.914
2017,10018,044030000,COMMUNITY UNIT SCHOOL DISTRICT 220,4.560,5.914
2017,10018,044030010,LAKE CO TAX OBJ CT ORD-220,0.068,5.914
2017,10018,060030000,BARRINGTON PUBLIC LIBRARY DISTRICT,0.230,5.914
2017,10018,090030000,NORTHWEST MOSQUITO ABATEMENT DISTRICT,0.010,5.914
2017,10019,010010000,COUNTY OF COOK,0.496,10.866
2017,10019,010010001,CONSOLIDATED ELECTIONS,0.031,10.866
2017,10019,010020000,FOREST PRESERVE DISTRICT OF COOK COUNTY,0.062,10.866
2017,10019,020010000,TOWN BARRINGTON,0.031,10.866
2017,10019,020010002,GENERAL ASSISTANCE BARRINGTON,0.001,10.866
2017,10019,020010003,ROAD AND BRIDGE BARRINGTON,0.000,10.866
2017,10019,030580000,VILLAGE OF   HOFFMAN ESTATES,1.470,10.866
2017,10019,030580500,TIF VIL OF HOFFMAN ESTATES-SEARS,0.000,10.866
2017,10019,043040000,ELGIN COMMUNITY COLLEGE DISTRICT 509,0.562,10.866
2017,10019,044010000,SCHOOL DISTRICT 46,6.932,10.866
2017,10019,050480000,HOFFMAN ESTATES PARK DISTRICT,0.639,10.866
2017,10019,060030000,BARRINGTON PUBLIC LIBRARY DISTRICT,0.230,10.866
2017,10019,080180000,METRO WATER RECLAMATION DIST OF GR CHGO,0.402,10.866
2017,10019,090030000,NORTHWEST MOSQUITO ABATEMENT DISTRICT,0.010,10.866
2017,10021,010010000,COUNTY OF COOK,0.496,7.240
2017,10021,010010001,CONSOLIDATED ELECTIONS,0.031,7.240
2017,10021,010020000,FOREST PRESERVE DISTRICT OF COOK COUNTY,0.062,7.240
2017,10021,020010000,TOWN BARRINGTON,0.031,7.240
2017,10021,020010002,GENERAL ASSISTANCE BARRINGTON,0.001,7.240
2017,10021,020010003,ROAD AND BRIDGE BARRINGTON,0.000,7.240
2017,10021,030030000,VILLAGE OF   BARRINGTON,0.570,7.240
2017,10021,043060000,HARPER COMMUNITY COLLEGE DISTRICT 512,0.425,7.240
2017,10021,044030000,COMMUNITY UNIT SCHOOL DISTRICT 220,4.560,7.240
2017,10021,044030010,LAKE CO TAX OBJ CT ORD-220,0.068,7.240
2017,10021,050040000,BARRINGTON PARK DISTRICT,0.756,7.240
2017,10021,060030000,BARRINGTON PUBLIC LIBRARY DISTRICT,0.230,7.240
2017,10021,090030000,NORTHWEST MOSQUITO ABATEMENT DISTRICT,0.010,7.240
2017,10030,010010000,COUNTY OF COOK,0.496,8.615
2017,10030,010010001,CONSOLIDATED ELECTIONS,0.031,8.615
2017,10030,010020000,FOREST PRESERVE DISTRICT OF COOK COUNTY,0.062,8.615
2017,10030,020010000,TOWN BARRINGTON,0.031,8.615
2017,10030,020010002,GENERAL ASSISTANCE BARRINGTON,0.001,8.615
2017,10030,020010003,ROAD AND BRIDGE BARRINGTON,0.000,8.615
2017,10030,030630000,VILLAGE OF INVERNESS,0.534,8.615
2017,10030,040030000,SCHOOL DISTRICT C C  15,3.618,8.615
2017,10030,042130000,PALATINE TOWNSHIP HIGH SCHOOL  211,2.922,8.615
2017,10030,043060000,HARPER COMMUNITY COLLEGE DISTRICT 512,0.425,8.615
2017,10030,070010000,BARRINGTON COUNTRYSIDE FIRE PROT DIST,0.485,8.615
2017,10030,090030000,NORTHWEST MOSQUITO ABATEMENT DISTRICT,0.010,8.615
2017,10032,010010000,COUNTY OF COOK,0.496,8.404
2017,10032,010010001,CONSOLIDATED ELECTIONS,0.031,8.404
2017,10032,010020000,FOREST PRESERVE DISTRICT OF COOK COUNTY,0.062,8.404
2017,10032,020010000,TOWN BARRINGTON,0.031,8.404
2017,10032,020010002,GENERAL ASSISTANCE BARRINGTON,0.001,8.404
2017,10032,020010003,ROAD AND BRIDGE BARRINGTON,0.000,8.404
2017,10032,043040000,ELGIN COMMUNITY COLLEGE DISTRICT 509,0.562,8.404
2017,10032,044070000,SCHOOL DISTRICT UNIT  300,5.917,8.404
2017,10032,060030000,BARRINGTON PUBLIC LIBRARY DISTRICT,0.230,8.404
2017,10032,070090000,EAST DUNDEE & COUNTRYSIDE FIRE PROT DIST,1.064,8.404
2017,10032,090030000,NORTHWEST MOSQUITO ABATEMENT DISTRICT,0.010,8.404
2017,10035,010010000,COUNTY OF COOK,0.496,7.669
2017,10035,010010001,CONSOLIDATED ELECTIONS,0.031,7.669
2017,10035,010020000,FOREST PRESERVE DISTRICT OF COOK COUNTY,0.062,7.669
2017,10035,020010000,TOWN BARRINGTON,0.031,7.669
2017,10035,020010002,GENERAL ASSISTANCE BARRINGTON,0.001,7.669
2017,10035,020010003,ROAD AND BRIDGE BARRINGTON,0.000,7.669
2017,10035,030040000,VILLAGE OF   BARRINGTON HILLS,1.222,7.669
2017,10035,043060000,HARPER COMMUNITY COLLEGE DISTRICT 512,0.425,7.669
2017,10035,044030000,COMMUNITY UNIT SCHOOL DISTRICT 220,4.560,7.669
2017,10035,044030010,LAKE CO TAX OBJ CT ORD-220,0.068,7.669
2017,10035,050030000,BARRINGTON HILLS PARK DISTRICT,0.048,7.669
2017,10035,060030000,BARRINGTON PUBLIC LIBRARY DISTRICT,0.230,7.669
2017,10035,070010000,BARRINGTON COUNTRYSIDE FIRE PROT DIST,0.485,7.669
2017,10035,090030000,NORTHWEST MOSQUITO ABATEMENT DISTRICT,0.010,7.669
2017,10038,010010000,COUNTY OF COOK,0.496,7.426
2017,10038,010010001,CONSOLIDATED ELECTIONS,0.031,7.426
2017,10038,010020000,FOREST PRESERVE DISTRICT OF COOK COUNTY,0.062,7.426
2017,10038,020010000,TOWN BARRINGTON,0.031,7.426
2017,10038,020010002,GENERAL ASSISTANCE BARRINGTON,0.001,7.426
2017,10038,020010003,ROAD AND BRIDGE BARRINGTON,0.000,7.426
2017,10038,031180000,VILLAGE OF   SOUTH BARRINGTON,0.540,7.426
2017,10038,043060000,HARPER COMMUNITY COLLEGE DISTRICT 512,0.425,7.426
2017,10038,044030000,COMMUNITY UNIT SCHOOL DISTRICT 220,4.560,7.426
2017,10038,044030010,LAKE CO TAX OBJ CT ORD-220,0.068,7.426
2017,10038,050980000,SOUTH BARRINGTON PARK DISTRICT,0.214,7.426
2017,10038,060030000,BARRINGTON PUBLIC LIBRARY DISTRICT,0.230,7.426
2017,10038,070190000,HOFFMAN ESTATES FIRE PROTECTION DIST 1,0.356,7.426
2017,10038,080180000,METRO WATER RECLAMATION DIST OF GR CHGO,0.402,7.426
2017,10038,090030000,NORTHWEST MOSQUITO ABATEMENT DISTRICT,0.010,7.426
2017,10039,010010000,COUNTY OF COOK,0.496,8.377
2017,10039,010010001,CONSOLIDATED ELECTIONS,0.031,8.377
2017,10039,010020000,FOREST PRESERVE DISTRICT OF COOK COUNTY,0.062,8.377
2017,10039,020010000,TOWN BARRINGTON,0.031,8.377
2017,10039,020010002,GENERAL ASSISTANCE BARRINGTON,0.001,8.377
2017,10039,020010003,ROAD AND BRIDGE BARRINGTON,0.000,8.377
2017,10039,030040000,VILLAGE OF   BARRINGTON HILLS,1.222,8.377
2017,10039,043060000,HARPER COMMUNITY COLLEGE DISTRICT 512,0.425,8.377
2017,10039,044030000,COMMUNITY UNIT SCHOOL DISTRICT 220,4.560,8.377
2017,10039,044030010,LAKE CO TAX OBJ CT ORD-220,0.068,8.377
2017,10039,050040000,BARRINGTON PARK DISTRICT,0.756,8.377
2017,10039,060030000,BARRINGTON PUBLIC LIBRARY DISTRICT,0.230,8.377
2017,10039,070010000,BARRINGTON COUNTRYSIDE FIRE PROT DIST,0.485,8.377
2017,10039,090030000,NORTHWEST MOSQUITO ABATEMENT DISTRICT,0.010,8.377
2017,10040,010010000,COUNTY OF COOK,0.496,9.095
2017,10040,010010001,CONSOLIDATED ELECTIONS,0.031,9.095
2017,10040,010020000,FOREST PRESERVE DISTRICT OF COOK COUNTY,0.062,9.095
2017,10040,020010000,TOWN BARRINGTON,0.031,9.095
2017,10040,020010002,GENERAL ASSISTANCE BARRINGTON,0.001,9.095
2017,10040,020010003,ROAD AND BRIDGE BARRINGTON,0.000,9.095
2017,10040,030040000,VILLAGE OF   BARRINGTON HILLS,1.222,9.095
2017,10040,043040000,ELGIN COMMUNITY COLLEGE DISTRICT 509,0.562,9.095
2017,10040,044070000,SCHOOL DISTRICT UNIT  300,5.917,9.095
2017,10040,050030000,BARRINGTON HILLS PARK DISTRICT,0.048,9.095
2017,10040,060030000,BARRINGTON PUBLIC LIBRARY DISTRICT,0.230,9.095
2017,10040,070010000,BARRINGTON COUNTRYSIDE FIRE PROT DIST,0.485,9.095
2017,10040,090030000,NORTHWEST MOSQUITO ABATEMENT DISTRICT,0.010,9.095
2017,10041,010010000,COUNTY OF COOK,0.496,7.153
2017,10041,010010001,CONSOLIDATED ELECTIONS,0.031,7.153
2017,10041,010020000,FOREST PRESERVE DISTRICT OF COOK COUNTY,0.062,7.153
2017,10041,020010000,TOWN BARRINGTON,0.031,7.153
2017,10041,020010002,GENERAL ASSISTANCE BARRINGTON,0.001,7.153
2017,10041,020010003,ROAD AND BRIDGE BARRINGTON,0.000,7.153
2017,10041,031180000,VILLAGE OF   SOUTH BARRINGTON,0.540,7.153
2017,10041,043060000,HARPER COMMUNITY COLLEGE DISTRICT 512,0.425,7.153
2017,10041,044030000,COMMUNITY UNIT SCHOOL DISTRICT 220,4.560,7.153
2017,10041,044030010,LAKE CO TAX OBJ CT ORD-220,0.068,7.153
2017,10041,050980000,SOUTH BARRINGTON PARK DISTRICT,0.214,7.153
2017,10041,060030000,BARRINGTON PUBLIC LIBRARY DISTRICT,0.230,7.153
2017,10041,070010000,BARRINGTON COUNTRYSIDE FIRE PROT DIST,0.485,7.153
2017,10041,090030000,NORTHWEST MOSQUITO ABATEMENT DISTRICT,0.010,7.153
2017,10042,010010000,COUNTY OF COOK,0.496,9.920
2017,10042,010010001,CONSOLIDATED ELECTIONS,0.031,9.920
2017,10042,010020000,FOREST PRESERVE DISTRICT OF COOK COUNTY,0.062,9.920
2017,10042,020010000,TOWN BARRINGTON,0.031,9.920
2017,10042,020010002,GENERAL ASSISTANCE BARRINGTON,0.001,9.920
2017,10042,020010003,ROAD AND BRIDGE BARRINGTON,0.000,9.920
2017,10042,031180000,VILLAGE OF   SOUTH BARRINGTON,0.540,9.920
2017,10042,043040000,ELGIN COMMUNITY COLLEGE DISTRICT 509,0.562,9.920
2017,10042,044070000,SCHOOL DISTRICT UNIT  300,5.917,9.920
2017,10042,050980000,SOUTH BARRINGTON PARK DISTRICT,0.214,9.920
2017,10042,060390000,POPLAR CREEK PUBLIC LIBRARY DISTRICT,0.590,9.920
2017,10042,070090000,EAST DUNDEE & COUNTRYSIDE FIRE PROT DIST,1.064,9.920
2017,10042,080180000,METRO WATER RECLAMATION DIST OF GR CHGO,0.402,9.920
2017,10042,090030000,NORTHWEST MOSQUITO ABATEMENT DISTRICT,0.010,9.920
2017,10043,010010000,COUNTY OF COOK,0.496,7.732
2017,10043,010010001,CONSOLIDATED ELECTIONS,0.031,7.732
2017,10043,010020000,FOREST PRESERVE DISTRICT OF COOK COUNTY,0.062,7.732
2017,10043,020010000,TOWN BARRINGTON,0.031,7.732
2017,10043,020010002,GENERAL ASSISTANCE BARRINGTON,0.001,7.732
2017,10043,020010003,ROAD AND BRIDGE BARRINGTON,0.000,7.732
2017,10043,031180000,VILLAGE OF   SOUTH BARRINGTON,0.540,7.732
2017,10043,043060000,HARPER COMMUNITY COLLEGE DISTRICT 512,0.425,7.732
2017,10043,044030000,COMMUNITY UNIT SCHOOL DISTRICT 220,4.560,7.732
2017,10043,044030010,LAKE CO TAX OBJ CT ORD-220,0.068,7.732
2017,10043,050980000,SOUTH BARRINGTON PARK DISTRICT,0.214,7.732
2017,10043,060030000,BARRINGTON PUBLIC LIBRARY DISTRICT,0.230,7.732
2017,10043,070090000,EAST DUNDEE & COUNTRYSIDE FIRE PROT DIST,1.064,7.732
2017,10043,090030000,NORTHWEST MOSQUITO ABATEMENT DISTRICT,0.010,7.732
2017,10044,010010000,COUNTY OF COOK,0.496,6.668
2017,10044,010010001,CONSOLIDATED ELECTIONS,0.031,6.668
2017,10044,010020000,FOREST PRESERVE DISTRICT OF COOK COUNTY,0.062,6.668
2017,10044,020010000,TOWN BARRINGTON,0.031,6.668
2017,10044,020010002,GENERAL ASSISTANCE BARRINGTON,0.001,6.668
2017,10044,020010003,ROAD AND BRIDGE BARRINGTON,0.000,6.668
2017,10044,031180000,VILLAGE OF   SOUTH BARRINGTON,0.540,6.668
2017,10044,043060000,HARPER COMMUNITY COLLEGE DISTRICT 512,0.425,6.668
2017,10044,044030000,COMMUNITY UNIT SCHOOL DISTRICT 220,4.560,6.668
2017,10044,044030010,LAKE CO TAX OBJ CT ORD-220,0.068,6.668
2017,10044,050980000,SOUTH BARRINGTON PARK DISTRICT,0.214,6.668
2017,10044,060030000,BARRINGTON PUBLIC LIBRARY DISTRICT,0.230,6.668
2017,10044,090030000,NORTHWEST MOSQUITO ABATEMENT DISTRICT,0.010,6.668
2017,10048,010010000,COUNTY OF COOK,0.496,10.211
2017,10048,010010001,CONSOLIDATED ELECTIONS,0.031,10.211
2017,10048,010020000,FOREST PRESERVE DISTRICT OF COOK COUNTY,0.062,10.211
2017,10048,020010000,TOWN BARRINGTON,0.031,10.211
2017,10048,020010002,GENERAL ASSISTANCE BARRINGTON,0.001,10.211
2017,10048,020010003,ROAD AND BRIDGE BARRINGTON,0.000,10.211
2017,10048,030580000,VILLAGE OF   HOFFMAN ESTATES,1.470,10.211
2017,10048,043040000,ELGIN COMMUNITY COLLEGE DISTRICT 509,0.562,10.211
2017,10048,044070000,SCHOOL DISTRICT UNIT  300,5.917,10.211
2017,10048,050480000,HOFFMAN ESTATES PARK DISTRICT,0.639,10.211
2017,10048,060390000,POPLAR CREEK PUBLIC LIBRARY DISTRICT,0.590,10.211
2017,10048,080180000,METRO WATER RECLAMATION DIST OF GR CHGO,0.402,10.211
2017,10048,090030000,NORTHWEST MOSQUITO ABATEMENT DISTRICT,0.010,10.211
2017,10053,010010000,COUNTY OF COOK,0.496,7.325
2017,10053,010010001,CONSOLIDATED ELECTIONS,0.031,7.325
2017,10053,010020000,FOREST PRESERVE DISTRICT OF COOK COUNTY,0.062,7.325
2017,10053,020010000,TOWN BARRINGTON,0.031,7.325
2017,10053,020010002,GENERAL ASSISTANCE BARRINGTON,0.001,7.325
2017,10053,020010003,ROAD AND BRIDGE BARRINGTON,0.000,7.325
2017,10053,031180000,VILLAGE OF   SOUTH BARRINGTON,0.540,7.325
2017,10053,043060000,HARPER COMMUNITY COLLEGE DISTRICT 512,0.425,7.325
2017,10053,044030000,COMMUNITY UNIT SCHOOL DISTRICT 220,4.560,7.325
2017,10053,044030010,LAKE CO TAX OBJ CT ORD-220,0.068,7.325
2017,10053,050980000,SOUTH BARRINGTON PARK DISTRICT,0.214,7.325
2017,10053,070010000,BARRINGTON COUNTRYSIDE FIRE PROT DIST,0.485,7.325
2017,10053,080180000,METRO WATER RECLAMATION DIST OF GR CHGO,0.402,7.325
2017,10053,090030000,NORTHWEST MOSQUITO ABATEMENT DISTRICT,0.010,7.325
2017,10054,010010000,COUNTY OF COOK,0.496,8.494
2017,10054,010010001,CONSOLIDATED ELECTIONS,0.031,8.494
2017,10054,010020000,FOREST PRESERVE DISTRICT OF COOK COUNTY,0.062,8.494
2017,10054,020010000,TOWN BARRINGTON,0.031,8.494
2017,10054,020010002,GENERAL ASSISTANCE BARRINGTON,0.001,8.494
2017,10054,020010003,ROAD AND BRIDGE BARRINGTON,0.000,8.494
2017,10054,031180000,VILLAGE OF   SOUTH BARRINGTON,0.540,8.494
2017,10054,043060000,HARPER COMMUNITY COLLEGE DISTRICT 512,0.425,8.494
2017,10054,044030000,COMMUNITY UNIT SCHOOL DISTRICT 220,4.560,8.494
2017,10054,044030010,LAKE CO TAX OBJ CT ORD-220,0.068,8.494
2017,10054,050980000,SOUTH BARRINGTON PARK DISTRICT,0.214,8.494
2017,10054,060390000,POPLAR CREEK PUBLIC LIBRARY DISTRICT,0.590,8.494
2017,10054,070090000,EAST DUNDEE & COUNTRYSIDE FIRE PROT DIST,1.064,8.494
2017,10054,080180000,METRO WATER RECLAMATION DIST OF GR CHGO,0.402,8.494
2017,10054,090030000,NORTHWEST MOSQUITO ABATEMENT DISTRICT,0.010,8.494
2017,10055,010010000,COUNTY OF COOK,0.496,6.923
2017,10055,010010001,CONSOLIDATED ELECTIONS,0.031,6.923
2017,10055,010020000,FOREST PRESERVE DISTRICT OF COOK COUNTY,0.062,6.923
2017,10055,020010000,TOWN BARRINGTON,0.031,6.923
2017,10055,020010002,GENERAL ASSISTANCE BARRINGTON,0.001,6.923
2017,10055,020010003,ROAD AND BRIDGE BARRINGTON,0.000,6.923
2017,10055,031180000,VILLAGE OF   SOUTH BARRINGTON,0.540,6.923
2017,10055,043060000,HARPER COMMUNITY COLLEGE DISTRICT 512,0.425,6.923
2017,10055,044030000,COMMUNITY UNIT SCHOOL DISTRICT 220,4.560,6.923
2017,10055,044030010,LAKE CO TAX OBJ CT ORD-220,0.068,6.923
2017,10055,050980000,SOUTH BARRINGTON PARK DISTRICT,0.214,6.923
2017,10055,070010000,BARRINGTON COUNTRYSIDE FIRE PROT DIST,0.485,6.923
2017,10055,090030000,NORTHWEST MOSQUITO ABATEMENT DISTRICT,0.010,6.923
2017,10056,010010000,COUNTY OF COOK,0.496,9.560
2017,10056,010010001,CONSOLIDATED ELECTIONS,0.031,9.560
2017,10056,010020000,FOREST PRESERVE DISTRICT OF COOK COUNTY,0.062,9.560
2017,10056,020010000,TOWN BARRINGTON,0.031,9.560
2017,10056,020010002,GENERAL ASSISTANCE BARRINGTON,0.001,9.560
2017,10056,020010003,ROAD AND BRIDGE BARRINGTON,0.000,9.560
2017,10056,031180000,VILLAGE OF   SOUTH BARRINGTON,0.540,9.560
2017,10056,043040000,ELGIN COMMUNITY COLLEGE DISTRICT 509,0.562,9.560
2017,10056,044070000,SCHOOL DISTRICT UNIT  300,5.917,9.560
2017,10056,050980000,SOUTH BARRINGTON PARK DISTRICT,0.214,9.560
2017,10056,060030000,BARRINGTON PUBLIC LIBRARY DISTRICT,0.230,9.560
